Year,total_stock,Historial Ut,Spawners,Recruits,lnrs,prop_3,prop_4,prop_5,prop_6
1951,1187739,0.855418573,171725,595477.2,1.243468741,,,,
1952,927000,0.80987055,176250,319542.2,0.594985905,,,,
1953,918122,0.85010162,137625,325788.8,0.861716724,,,,
1954,1096517,0.921227851,86375,493568.5,1.742963372,,,,
1955,397099,0.72173186,110500,597993.3,1.688564029,,,,
1956,282627,0.883415243,32950,455279.4,2.625920035,,,,
1957,308363,0.725469658,84655,294324.5,1.246098727,,,,
1958,559829,0.84030838,89400,259625,1.0661176,,,,
1959,651622,0.76627554,152300,315857.7,0.729439536,,,,
1960,390714,0.629442508,144782,341946,0.859423667,,,,
1961,253644,0.590291905,103920,255725.9,0.900484795,,,,
1962,249239,0.476979927,130357,335297.3,0.94474076,,,,
1963,339884,0.434380553,192245,435055.2,0.816702319,,,,
1964,371556,0.335925136,246741,846704.4,1.233012434,,,,
1965,170472,0.240584964,129459,767008.4,1.779133524,,,,
1966,419759,0.140435345,360810,654797.3,0.595974218,,,,
1967,323003,0.337860639,213873,582606.9,1.002130307,,,,
1968,1153257,0.418752282,670328,1073497.2,0.470909864,,,,
1969,578493,0.465473221,309220,1380907.4,1.496443101,,,,
1970,739355,0.615543278,284250,931420.3,1.186856493,,,,
1971,376364,0.229137218,290125,607447.8,0.738954381,,,,
1972,1349820,0.68641004,423290,820346.5,0.661669289,,,,
1973,1506960,0.822769018,267080,853160.5,1.16139945,,,,
1974,717854,0.511996868,350315,958767.8,1.006816169,,,,
1975,486199,0.606292897,191420,631741.4,1.194010166,,,,
1976,1003722,0.660745704,340517,688258.5,0.703699443,,,,
1977,722536,0.170503615,599341,645369.6,0.073992458,,,,
1978,1185223,0.697111852,358990,631498,0.564800242,,,,
1979,308732,0.171987355,255634,560544.2,0.785161364,,,,
1980,909353,0.654687454,314011,692616.5,0.791048438,,,,
1981,500271,0.126481447,436996,1445354.1,1.196185581,,,,
1982,724011,0.549124254,326439,1548341.6,1.5566966,,,,
1983,470101,0.209169944,371770,866417.1,0.846091049,,,,
1984,612803,0.116391401,541478,874855.5,0.479756292,,,,
1985,1839044,0.247539482,1383808,1126818.4,-0.205441033,,,,
1986,1580868,0.369126961,997327,1430746.2,0.360872705,,,,
1987,481076,0.244046679,363671,1506538.7,1.421320434,,,,
1988,1035111,0.489458618,528467,1517347.8,1.054738859,,,,
1989,1094661,0.324314103,739647,1582242,0.760425062,,,,
1990,1594885,0.459539716,861972,2004615.8,0.843984913,,,,
1991,1454169,0.239188843,1106348,1920095.295,0.551310316,,,,
1992,1555718,0.334160176,1035859,1415807.909,0.312469295,,,,
1993,1476663,0.332631074,985479,1461959.952,0.39440543,,,,
1994,2295288,0.274130741,1666079,3090405.372,0.617829309,,,,
1995,1844441,0.117053893,1628542,3153242.825,0.660746256,,,,
1996,1248442.946,0.04987248,1186180,1757511.26,0.393160692,,,,
1997,1134098.415,0.07784458,1045815,2557187.948,0.894111711,,,,
1998,4069680.197,0.124982105,3561043,2766941.992,-0.252310743,,,,
1999,3083677.294,0.031268283,2987256,3598370.854,0.186125962,,,,
2000,821323.8946,0.147746699,699976,2282485.943,1.181974405,,,,
2001,3396137.355,0.071918279,3151893,1868662.079,-0.522780516,,,,
2002,2701922.528,0.147921535,2302250,2826467.168,0.205140676,,,,
2003,2006286.415,0.255095888,1494491,1321874.942,-0.122734541,0.03,0.91,0.06,0.00
2004,3352861.103,0.189756475,2716634,1274857.432,-0.75655926,0.14,0.57,0.28,0.00
2005,1804337.132,0.262120711,1331383,826792.9558,-0.476419223,0.09,0.74,0.17,0.01
2006,2683669.793,0.265699154,1970621,653276.4519,-1.104103604,0.04,0.93,0.02,0.00
2007,1382634.305,0.235337937,1057248,1919087.385,0.596180447,0.08,0.81,0.12,0.00
2008,1231940.016,0.20287028,982016,1341575.499,0.311992346,0.11,0.81,0.07,0.00
2009,816921.5977,0.419099701,474550,1605367.076,1.21874073,0.04,0.76,0.20,0.00
2010,661736.705,0.080120544,608718,1596985.392,0.964517895,0.05,0.84,0.10,0.00
2011,1420924.621,0.240587443,1079068,1137157.667,0.052434169,0.02,0.93,0.05,0.00
2012,1702019.91,0.188568834,1381072,3027578.79,0.784903212,0.11,0.57,0.32,0.00
2013,1601307.958,0.270696811,1167839,805154.9323,-0.37187559,0.03,0.75,0.21,0.01
2014,1507866.145,0.227000351,1165580,920933.0501,-0.235586755,0.04,0.81,0.15,0.00
2015,1452703.636,0.34545149,950865,390127.0642,-0.890899605,0.17,0.61,0.22,0.00
2016,2944872.519,0.329211711,1975386,718625.961,-1.0111781,0.05,0.88,0.06,0.00
2017,1072321.89,0.384823712,659667,465319.3903,-0.349011132,0.24,0.59,0.17,0.00
2018,789466.793,0.132484094,684875,,,0.17,0.81,0.02,0.00
2019,326141.64,0.068453817,303816,,,0.16,0.76,0.08,0.00
2020,674438.89,0.195810016,542377,,,0.14,0.85,0.02,0.00
2021,527027,0.052634874,499287,,,0.33,0.49,0.18,0.00
2022,1158175,0.087425475,1056921,,,0.30,0.60,0.10,0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
